simulation_id,timestamp,success,error,mass_variation_percent,cd_multiplier,thrust_scale,cg_offset_m
sim_000000,2025-10-30T18:04:29.227867,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,0.95,-0.03
sim_000001,2025-10-30T18:04:29.227980,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,0.95,0
sim_000002,2025-10-30T18:04:29.228021,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,0.95,0.03
sim_000003,2025-10-30T18:04:29.228051,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,1.0,-0.03
sim_000004,2025-10-30T18:04:29.228077,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,1.0,0
sim_000005,2025-10-30T18:04:29.228099,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,1.0,0.03
sim_000006,2025-10-30T18:04:29.228119,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,1.05,-0.03
sim_000007,2025-10-30T18:04:29.228137,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,1.05,0
sim_000008,2025-10-30T18:04:29.228155,False,type object 'Rocket' has no attribute 'from_ork',-10,0.9,1.05,0.03
sim_000009,2025-10-30T18:04:29.228180,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,0.95,-0.03
sim_000010,2025-10-30T18:04:29.228203,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,0.95,0
sim_000011,2025-10-30T18:04:29.228221,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,0.95,0.03
sim_000012,2025-10-30T18:04:29.228239,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,1.0,-0.03
sim_000013,2025-10-30T18:04:29.228258,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,1.0,0
sim_000014,2025-10-30T18:04:29.228275,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,1.0,0.03
sim_000015,2025-10-30T18:04:29.228297,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,1.05,-0.03
sim_000016,2025-10-30T18:04:29.228315,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,1.05,0
sim_000017,2025-10-30T18:04:29.228332,False,type object 'Rocket' has no attribute 'from_ork',-10,0.95,1.05,0.03
sim_000018,2025-10-30T18:04:29.228350,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,0.95,-0.03
sim_000019,2025-10-30T18:04:29.228371,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,0.95,0
sim_000020,2025-10-30T18:04:29.228389,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,0.95,0.03
sim_000021,2025-10-30T18:04:29.228406,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,1.0,-0.03
sim_000022,2025-10-30T18:04:29.228423,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,1.0,0
sim_000023,2025-10-30T18:04:29.228441,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,1.0,0.03
sim_000024,2025-10-30T18:04:29.228459,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,1.05,-0.03
sim_000025,2025-10-30T18:04:29.228478,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,1.05,0
sim_000026,2025-10-30T18:04:29.228497,False,type object 'Rocket' has no attribute 'from_ork',-10,1.0,1.05,0.03
sim_000027,2025-10-30T18:04:29.228516,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,0.95,-0.03
sim_000028,2025-10-30T18:04:29.228534,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,0.95,0
sim_000029,2025-10-30T18:04:29.228556,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,0.95,0.03
sim_000030,2025-10-30T18:04:29.228575,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,1.0,-0.03
sim_000031,2025-10-30T18:04:29.228595,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,1.0,0
sim_000032,2025-10-30T18:04:29.228613,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,1.0,0.03
sim_000033,2025-10-30T18:04:29.228631,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,1.05,-0.03
sim_000034,2025-10-30T18:04:29.228648,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,1.05,0
sim_000035,2025-10-30T18:04:29.228666,False,type object 'Rocket' has no attribute 'from_ork',-10,1.05,1.05,0.03
sim_000036,2025-10-30T18:04:29.228686,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,0.95,-0.03
sim_000037,2025-10-30T18:04:29.228705,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,0.95,0
sim_000038,2025-10-30T18:04:29.228722,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,0.95,0.03
sim_000039,2025-10-30T18:04:29.228743,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,1.0,-0.03
