Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.342565,0.0,697.0,697.0001028588068
0.005839,69.353867,0.403633,697.002357,697.5208592178003
0.011677,69.364378,0.807327,697.00707,695.5108932324976
0.021677,69.382341,1.49883,697.018601,697.6921521157051
0.031677,69.400276,2.190511,697.037048,698.49729007222
0.041677,69.418153,2.882371,697.062412,696.4121540789764
0.051677,69.435963,3.574409,697.094696,698.8027650271009
0.061677,69.453731,4.266623,697.133901,698.2529866673422
0.071677,69.471389,4.959015,697.18003,697.8128754132188
0.081677,69.489065,5.651583,697.233083,698.2923288483222
0.091677,69.506667,6.344326,697.293062,697.3171569306344
0.101677,69.569258,7.037469,697.359971,698.2619606287379
0.111677,69.595207,7.731053,697.433814,696.872313020621
0.121677,69.612719,8.424854,697.514593,696.617838117309
0.131677,69.630129,9.11883,697.602312,697.3781179599092
0.141677,69.647548,9.812978,697.696971,698.2970536838957
0.151677,69.664955,10.5073,697.798572,698.9519302422633
0.161677,69.68223,11.201795,697.907118,699.0875772491199
0.171677,69.699507,11.896463,698.022609,695.8710772307569
0.181677,69.716719,12.591302,698.145048,699.8964919235217
0.191677,69.733871,13.286312,698.274436,696.7628985134218
0.201677,69.79221,13.981699,698.410776,700.2355764896131
0.211677,69.817183,14.677501,698.554072,699.0070886905845
0.221677,69.834246,15.373512,698.704327,701.1026356635389
0.231677,69.851277,16.069693,698.861543,699.408128799843
0.241677,69.86825,16.766044,699.025722,699.7158420342188
0.251677,69.885166,17.462564,699.196865,699.3280186067883
0.261677,69.90202,18.159252,699.374973,700.3896328629493
0.271677,69.918811,18.856107,699.56005,696.1042021248896
0.281677,69.935571,19.55313,699.752096,700.0591551922029
0.291677,69.952307,20.25032,699.951113,700.1054722383509
0.301677,70.00834,20.94784,700.157104,701.4916982810306
0.311677,70.032704,21.645819,700.370072,701.254590559977
0.321677,70.049306,22.343983,700.590021,699.8450245249595
0.331677,70.065845,23.042306,700.816952,700.7288409278772
0.341677,70.082323,23.740793,701.050867,702.7723792022256
0.351677,70.098738,24.439444,701.291769,699.4653319015595
0.361677,70.115191,25.138259,701.539657,702.0424221826214
0.371677,70.131479,25.837237,701.794535,705.2118355035474
0.381677,70.147804,26.536377,702.056403,701.4454500067732
0.391677,70.164066,27.23568,702.325263,702.6684618197954
0.401677,70.217803,27.935332,702.601118,703.2291853441369
0.411677,70.241501,28.63537,702.883972,703.0584012780708
0.421677,70.25762,29.335606,703.173826,702.6561902850115
0.431677,70.27371,30.036003,703.470684,703.9861018920019
0.441677,70.289664,30.736559,703.774547,702.230200608175
0.451677,70.305553,31.437274,704.085416,704.6404773163247
0.461677,70.321477,32.138148,704.403294,703.8288339944164
0.471677,70.337336,32.83918,704.72818,704.4420928567469
0.481677,70.353024,33.540369,705.060078,706.3341647107029
0.491677,70.368746,34.241715,705.398988,705.8261985160566
0.501677,70.420385,34.943397,705.744914,703.329967985663
0.511677,70.443422,35.645451,706.097858,707.7485949913118
0.521677,70.458991,36.347697,706.457824,706.8861611284358
0.531677,70.474455,37.050098,706.824813,706.7020465339914
0.541677,70.489952,37.752653,707.198827,706.7076289041164
0.551677,70.505278,38.455361,707.579867,707.3384664403527
0.561677,70.520637,39.158223,707.967935,711.4689710458198
0.571677,70.536205,39.861239,708.363032,709.3661797352138
0.581677,70.551788,40.56441,708.76516,708.9170863891808
0.591677,70.567351,41.267736,709.174321,709.660925162231
0.601677,70.617284,41.971389,709.590516,712.1019634725908
0.603074,70.623486,42.06967,709.649186,708.2990819686357
0.604628,70.629456,42.179131,709.714733,709.853008349046
0.606182,70.63291,42.288598,709.78045,706.3539752552894
0.60929,70.638152,42.507542,709.912225,707.8695256231283
0.612398,70.643365,42.726506,710.044681,710.5123310427654
0.615506,70.648183,42.945487,710.177817,711.5073281914929
0.625506,70.664046,43.650175,710.610795,710.8352317495884
0.635506,70.679725,44.355039,711.050821,709.1026782451082
0.645506,70.694958,45.060058,711.497896,713.9715190396633
0.655506,70.710055,45.765198,711.952023,710.2255801211342
0.656623,70.711842,45.843995,712.003202,711.9481679464375
0.65774,70.713573,45.922792,712.05447,712.2303780808069
0.658858,70.715136,46.001592,712.105826,713.1640054068413
0.66634,70.726741,46.529324,712.452011,713.657209782375
0.673823,70.737799,47.057116,712.802145,714.3125592896622
0.681306,70.749173,47.584963,713.156229,715.1772539325617
0.691306,70.763813,48.290473,713.635606,714.0110707464745
0.701306,70.810517,48.996218,714.122039,713.26011546809
0.711306,70.833478,49.702228,714.615532,715.5422068379622
0.720652,70.847404,50.362186,715.083157,714.1411339292923
0.729999,70.861052,51.022181,715.55695,715.0536287091101
0.739345,70.874593,51.682199,716.036913,718.0945517072453
0.748581,70.888188,52.334442,716.517272,718.7248560219723
0.757817,70.901875,52.986687,717.003656,720.7527100027872
0.767054,70.915221,53.638921,717.496065,716.9197731224826
0.777054,70.930171,54.345065,718.035984,717.2539900184505
0.787054,70.944623,55.051164,718.582966,717.4479524346922
0.797054,70.959502,55.757197,719.137008,720.6784514594701
0.807054,71.012554,56.463306,719.69811,720.3189498722639
0.817054,71.027823,57.169567,720.266274,721.8374851145388
0.827054,71.043012,57.875676,720.841501,719.7403361344925
0.837054,71.058274,58.58164,721.423787,720.559192589072
0.847054,71.073851,59.287437,722.013133,722.5523605620659
0.857054,71.08967,59.993044,722.609535,722.5863137695126
0.867054,71.105386,60.698437,723.212993,723.1170563593939
0.877054,71.121898,61.403589,723.823503,724.3032763379697
0.887054,71.138292,62.108478,724.441064,724.5961546421754
0.897054,71.155144,62.813073,725.065672,725.5881675464027
0.907054,71.209411,63.517487,725.697325,722.1892711980303
0.917054,71.227556,64.221845,726.336021,726.0540383614424
0.927054,71.245857,64.925756,726.98176,726.3848442078194
0.937054,71.264349,65.629279,727.634535,726.0779386927416
0.947054,71.283461,66.332367,728.294344,726.9637293566235
0.957054,71.303338,67.034993,728.961181,728.7944072452907
0.967054,71.323503,67.73713,729.635042,728.733945803952
0.977054,71.344296,68.438744,730.315922,728.7899682493037
0.987054,71.365877,69.139809,731.003815,734.1804726925658
0.997054,71.387993,69.840296,731.698716,731.5487461607232
1.007054,71.445904,70.54032,732.40062,735.0360360200435
1.017054,71.469685,71.239941,733.109521,732.2584504027384
1.027054,71.493569,71.938873,733.825416,734.4968354098975
1.037054,71.518081,72.637113,734.548297,733.732665514709
1.047054,71.543381,73.334639,735.278156,733.456104690513
1.057054,71.569128,74.031426,736.014987,735.1417057984067
1.067054,71.595499,74.727451,736.758782,736.4898515892892
1.077054,71.622641,75.422694,737.509533,737.9932889429319
1.087054,71.650263,76.117137,738.267233,738.7310632046608
1.097054,71.678215,76.810762,739.031873,737.6852801146488
1.107054,71.740827,77.503692,739.803446,739.583533759639
1.117054,71.770367,78.196002,740.581945,739.968843009392
1.127054,71.799422,78.887432,741.367363,740.5183479574492
1.137054,71.829116,79.577998,742.159691,741.8122922243996
1.147054,71.859407,80.267702,742.95892,744.1749814605383
1.157054,71.889564,80.956543,743.765042,745.7842591126393
1.164892,71.913118,81.495847,744.401685,744.3240247057772
1.172729,71.93721,82.034624,745.042554,744.2480188713945
1.180567,71.960685,82.572879,745.687643,747.2959009906009
1.190567,71.991341,83.258862,746.516802,746.2079146667521
1.200567,72.04424,83.944111,747.352818,747.8434895093469
1.210567,72.084511,84.62874,748.195683,748.5447616133531
1.220567,72.114361,85.31263,749.04539,747.7794580467515
1.230567,72.14341,85.995752,749.901933,749.7599495210208
1.240567,72.171993,86.678139,750.765303,750.0279443584708
1.250567,72.200365,87.359829,751.635493,751.0811093123858
1.260567,72.227634,88.040857,752.512497,751.6806124765614
1.270567,72.254097,88.721262,753.396308,756.6749557836758
1.280567,72.280136,89.401088,754.28692,752.7751125986898
1.290567,72.304733,90.080383,755.184328,755.9726547885361
1.300567,72.350554,90.759275,756.088527,757.0512083548034
1.310567,72.383022,91.437941,756.999513,758.2941376362996
1.320567,72.404624,92.11627,757.917284,756.7724142869843
1.330567,72.424668,92.79427,758.841837,759.389396120609
1.340567,72.443648,93.472014,759.773169,759.4870415138962
