Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.314763,0.0,697.0,697.105806070868
0.005831,69.32606,0.404133,697.002357,696.8747067148831
0.011663,69.336569,0.808328,697.00707,697.2171959405998
0.021663,69.354548,1.501545,697.01862,696.9120189555558
0.031663,69.372515,2.194942,697.037102,697.112550554737
0.041663,69.390433,2.888519,697.06252,697.111605249313
0.051663,69.408278,3.582274,697.094873,697.1327751353415
0.061663,69.42609,4.276207,697.134166,697.3689596934349
0.071663,69.443795,4.970318,697.180399,696.967496525132
0.081663,69.461523,5.664606,697.233573,696.9887558072778
0.091663,69.479132,6.359071,697.293692,696.9623640080582
0.101663,69.541657,7.053936,697.360757,696.8193045032524
0.111663,69.567728,7.749244,697.434772,697.987042179176
0.121663,69.585286,8.44477,697.515743,697.63616027432
0.131663,69.602742,9.140471,697.603669,697.4973442162405
0.141663,69.620197,9.836347,697.698553,697.7767087081168
0.151663,69.637638,10.532397,697.800397,697.6900222236313
0.161663,69.654964,11.228621,697.909202,698.2187888127958
0.171663,69.672295,11.925018,698.02497,698.318581744398
0.181663,69.689565,12.621587,698.147703,698.0670112631273
0.191663,69.706772,13.31833,698.277402,698.2583273604635
0.201663,69.765088,14.015415,698.414071,698.4316213412385
0.211663,69.790205,14.71298,698.557712,698.9816537146125
0.221663,69.807338,15.410734,698.708331,698.8684302223322
0.231663,69.824446,16.108653,698.865928,699.2004022993095
0.241663,69.841495,16.806743,699.030505,699.1084633327606
0.251663,69.858491,17.505003,699.202063,699.6546702426349
0.261663,69.875435,18.203433,699.380605,699.459611232479
0.271663,69.892321,18.902032,699.566133,698.9757568492164
0.281663,69.909184,19.600799,699.758647,699.7344292455965
0.291663,69.926023,20.299735,699.958149,699.8510688666719
0.301663,69.982095,20.999003,700.164643,699.9173393276219
0.311663,70.006651,21.698706,700.378131,700.4325034941304
0.321663,70.02338,22.398616,700.598618,700.6653792958257
0.331663,70.040053,23.098692,700.826104,700.9406278574344
0.341663,70.05667,23.798935,701.060592,701.237107553443
0.351663,70.073233,24.499344,701.302084,700.9211166787427
0.361663,70.089844,25.199919,701.55058,701.6779485763795
0.371663,70.106298,25.900659,701.806083,701.8986797177233
0.381663,70.122798,26.601563,702.068594,701.8493429624748
0.391663,70.139244,27.302633,702.338115,702.3106700814681
0.401663,70.193104,28.004053,702.614649,702.5521149800712
0.411663,70.217075,28.705863,702.898198,702.6470964919666
0.421663,70.233409,29.407874,703.188767,703.1846040724208
0.431663,70.249722,30.110049,703.486356,703.5556125704572
0.441663,70.265912,30.812386,703.790969,704.187119683381
0.451663,70.282048,31.514884,704.102605,703.96748710716
0.461663,70.298231,32.217544,704.421267,704.6634638901988
0.471663,70.314359,32.920365,704.746957,704.7808976932939
0.481663,70.330333,33.623347,705.079675,704.7950510490001
0.491663,70.346354,34.326489,705.419424,705.6886981345625
0.501663,70.398238,35.02997,705.766207,705.981100703761
0.511663,70.421661,35.733828,706.120026,705.7180010757523
0.521663,70.437569,36.437882,706.480884,706.5216969880607
0.531663,70.45339,37.142095,706.848784,706.4312047069667
0.541663,70.469259,37.846466,707.223727,707.0532463907667
0.551663,70.484968,38.550995,707.605714,707.8182261471876
0.561663,70.500726,39.255682,707.994748,708.0480141060826
0.571663,70.516431,39.960525,708.390829,708.3390021846121
0.581663,70.532048,40.665525,708.793959,708.5280426264808
0.591663,70.547647,41.370681,709.20414,709.0296296831925
0.601663,70.597549,42.076165,709.621374,709.3343219597363
0.603188,70.604192,42.183823,709.685641,709.7833201159274
0.606398,70.612816,42.410355,709.821756,709.8986842068007
0.609607,70.618312,42.636904,709.958599,709.5795217860963
0.616026,70.628325,43.090034,710.233738,709.8986514409015
0.622445,70.638169,43.543227,710.511787,710.5291564590705
0.628864,70.648043,43.996484,710.792744,711.409128377188
0.638864,70.663573,44.70273,711.23624,711.0121185746791
0.648864,70.678805,45.409131,711.686799,711.8605315621265
0.658864,70.694039,46.115683,712.144423,712.5885305292489
0.668864,70.709481,46.822388,712.609113,712.6827758045428
0.678864,70.724638,47.529245,713.080871,713.2995818611364
0.688864,70.739846,48.236254,713.559699,713.9156346383446
0.698864,70.754818,48.943413,714.045597,714.1870508909961
0.708864,70.809794,49.650888,714.538568,714.6248477747097
0.718864,70.824918,50.358745,715.038616,714.7894425293246
0.728864,70.839895,51.066753,715.545744,715.6982862718462
0.738864,70.854582,51.774907,716.059952,715.7530112265624
0.748864,70.869581,52.483209,716.581243,716.4341915731275
0.758864,70.88457,53.191659,717.109617,717.2350843693752
0.768864,70.898911,53.900255,717.645077,717.8073200914743
0.778864,70.914068,54.608995,718.187623,718.304082149015
0.788864,70.928556,55.317881,718.737257,718.4050793393874
0.798864,70.943037,56.02691,719.293981,719.7478732967758
0.808864,70.996018,56.736272,719.857797,719.4900487050386
0.818864,71.010903,57.445969,720.428708,720.4233212050898
0.828864,71.025182,58.155808,721.006717,721.1881382715687
0.838864,71.039616,58.865784,721.591825,720.9366440375613
0.848864,71.053961,59.575898,722.184033,721.9987822957521
0.858864,71.068237,60.286149,722.783344,722.9175523531122
0.868864,71.082768,60.996535,723.389757,723.5216126353679
0.878864,71.0969,61.707055,724.003275,724.3025830081787
0.888864,71.111384,62.417708,724.623899,723.6434370808354
0.898864,71.125544,63.128493,725.251629,725.0182898939632
0.908864,71.176501,63.83956,725.886469,726.3766583145688
0.918864,71.190823,64.550999,726.528422,726.3752915874315
0.928864,71.205101,65.262536,727.17749,727.7968911877067
0.938864,71.219302,65.974197,727.833673,727.9107448504525
0.948864,71.233255,66.68598,728.496974,728.3120080778154
0.958864,71.247286,67.397882,729.167393,729.0101287085834
0.968864,71.261335,68.109901,729.844932,729.7920657803461
0.978864,71.275384,68.822037,730.529591,730.6713771768159
0.988864,71.289447,69.534286,731.221373,731.5953580830183
0.998864,71.303594,70.246647,731.920278,731.3374366754563
1.008864,71.35309,70.959252,732.626307,732.7486602474942
1.018864,71.367058,71.672244,733.339464,732.8011503449566
1.028864,71.381128,72.385267,734.059752,734.296871412589
1.038864,71.395177,73.098403,734.78717,734.68178415845
1.048864,71.409215,73.811645,735.52172,735.4206527322523
1.058864,71.423229,74.524985,736.263403,736.8478004565259
1.068864,71.437194,75.238421,737.01222,736.9597600467265
1.078864,71.450935,75.95195,737.768172,737.4481943368222
1.088864,71.465064,76.66557,738.531259,738.4547147045845
1.098864,71.479081,77.37928,739.301484,739.086860769439
1.108864,71.527442,78.093265,740.078846,740.2424645469409
1.118864,71.541497,78.807455,740.86335,740.9581164736012
1.128864,71.555428,79.52177,741.654996,741.8351945414912
1.138864,71.569192,80.23617,742.453785,742.2080032049554
1.148864,71.583271,80.950645,743.259719,742.8081805456544
1.158864,71.597288,81.665195,744.072798,744.2475609907818
1.168864,71.611242,82.37982,744.893023,745.0720443317084
1.178864,71.625237,83.094519,745.720395,746.0212680615837
1.188864,71.639097,83.809293,746.554914,746.6907267399038
1.198864,71.652978,84.524138,747.396581,747.1533957661806
1.208864,71.69993,85.239235,748.245398,748.9158885082355
1.218864,71.714178,85.95452,749.101366,749.3637090812265
1.228864,71.727913,86.669916,749.964488,749.9096467598082
1.238864,71.741777,87.385388,750.834765,750.1762980146058
1.248864,71.755573,88.100927,751.712196,752.2961544615035
1.258864,71.769334,88.816533,752.596784,752.1372094781266
1.268864,71.782957,89.532209,753.488527,753.4014808381643
1.278864,71.796564,90.247958,754.387428,755.2107803208669
1.288864,71.809978,90.963779,755.293487,755.3338828174808
1.298864,71.823529,91.679675,756.206704,756.0678151769719
1.308864,71.868519,92.39582,757.127081,757.3261935607409
1.318864,71.882151,93.112155,758.054621,757.8434742910522
1.328864,71.89529,93.82861,758.989325,759.0908424492987
1.338864,71.908256,94.545152,759.931193,759.7603117709888
1.348864,71.921163,95.261775,760.880228,761.1977335808976
1.358864,71.934143,95.978481,761.836429,761.5316832010454
1.368864,71.946559,96.695273,762.799798,762.9733429875972
1.378864,71.959106,97.412161,763.770335,763.6638600991024
1.388864,71.971709,98.129147,764.748041,764.7596771082841
1.398864,71.983796,98.846236,765.732918,766.0362755175423
1.408864,72.026889,99.563576,766.724967,766.4151635466892
1.418864,72.038927,100.281161,767.72419,767.9383044427593
1.428864,72.050603,100.998905,768.73059,768.5111426838522
1.438864,72.062212,101.716755,769.744169,769.0667996940699
1.448864,72.074061,102.434708,770.764926,771.1364788496533
1.458864,72.085312,103.15278,771.792864,772.1997915367202
1.468864,72.096347,103.87098,772.827982,772.7824949546732
1.478864,72.107446,104.589313,773.870284,773.9314307108373
1.488864,72.118344,105.307779,774.919769,775.6014398864869
1.498864,72.129213,106.026382,775.97644,776.0820920573857
1.508864,72.169478,106.745266,777.040298,777.1419266743179
1.518864,72.180354,107.464425,778.111346,777.874321455243
1.528864,72.1905,108.183776,779.189587,779.0571764895976
1.538864,72.20097,108.903266,780.275022,780.2935789631995
1.548864,72.210955,109.62289,781.367652,780.7926463299514
1.558864,72.22113,110.342661,782.46748,782.4089578711971
1.568864,72.231072,111.062588,783.574506,783.7044391147952
1.578864,72.24122,111.782674,784.688732,784.9254671877175
1.588864,72.251086,112.502918,785.81016,785.9523318248964
1.598864,72.260887,113.223319,786.938791,787.2315186510316
1.608864,72.299365,113.944014,788.074628,787.8204560671795
1.618864,72.309341,114.664994,789.217672,789.0430302945695
1.628864,72.318915,115.386177,790.367928,790.3957272847193
1.638864,72.328674,116.107509,791.525396,791.2862461240721
1.648864,72.338354,116.828981,792.690079,792.585476277321
1.658864,72.348025,117.550604,793.861977,793.9486146684234
1.668864,72.357627,118.272383,795.041091,795.1869349357943
1.678864,72.367367,118.994317,796.227425,796.5056208436159
1.688864,72.376956,119.716401,797.420978,796.8865722736386
1.698864,72.386662,120.438633,798.621753,799.1136785077288
1.708864,72.424213,121.161142,799.829752,800.0070274404125
1.718864,72.434135,121.883918,801.044977,800.9238137123531
1.728864,72.443567,122.606876,802.267431,802.2117794876594
1.738864,72.453549,123.329964,803.497115,803.3057932461321
1.748864,72.463259,124.053171,804.73403,804.6797853803965
1.758864,72.472943,124.776504,805.978179,806.271004839535
1.768864,72.482516,125.499965,807.229561,807.4462725559838
1.778864,72.492169,126.223553,808.488178,808.7359013500005
1.788864,72.502089,126.947261,809.754032,809.1264505864389
1.798864,72.511598,127.671087,811.027124,811.4769465825674
1.808864,72.548081,128.395153,812.307455,812.1292363637422
1.818864,72.557857,129.119448,813.595028,813.7832311791782
1.828864,72.567256,129.84389,814.889844,814.8254138535615
1.838864,72.576835,130.568427,816.191906,816.7970431743375
1.848864,72.58625,131.293048,817.501213,817.4531396233201
1.858864,72.595766,132.01776,818.817767,819.0094610799505
1.868864,72.605173,132.742566,820.141569,819.8334494684235
1.878864,72.614413,133.467464,821.472619,820.7212395767142
1.888864,72.623597,134.192446,822.810918,823.0836336106719
1.898864,72.633036,134.91751,824.156468,823.9410040933526
1.908864,72.667888,135.642776,825.509269,825.3713284147426
1.918864,72.677432,136.368232,826.869324,826.9439002420792
1.928864,72.686419,137.093802,828.236634,828.1339829010456
1.938864,72.695414,137.819434,829.6112,829.9173584400532
1.948864,72.704277,138.545117,830.993023,831.101818595378
1.958864,72.713148,139.270859,832.382103,832.542142066437
1.968864,72.721858,139.996661,833.778441,833.4152402285833
1.978864,72.7307,140.722524,835.182036,834.6761850848346
1.988864,72.739386,141.448441,836.592891,836.6223200946453
1.998864,72.74813,142.174411,838.011005,838.3010931441698
2.008864,72.782195,142.900541,839.43638,839.2670988174821
2.018864,72.790877,143.62685,840.869017,840.7203996443698
