# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,71.195328,0.000000,906.565430
0.006110,71.204258,0.433378,906.568077
0.012219,71.213147,0.866811,906.573373
0.022219,71.227608,1.576304,906.585589
0.032219,71.241932,2.285941,906.604900
0.042219,71.256133,2.995720,906.631309
0.052219,71.270207,3.705640,906.664815
0.062219,71.284082,4.415699,906.705422
0.072219,71.297825,5.125896,906.753130
0.082219,71.311380,5.836229,906.807941
0.092219,71.324796,6.546696,906.869855
0.102219,71.338165,7.257296,906.938875
0.112219,71.351341,7.968029,907.015002
0.122219,71.364387,8.678892,907.098236
0.132219,71.377297,9.389885,907.188580
0.142219,71.390042,10.101005,907.286035
0.152219,71.402710,10.812252,907.390601
0.162219,71.415220,11.523625,907.502280
0.172219,71.427578,12.235121,907.621074
0.182219,71.439828,12.946740,907.746983
0.192219,71.451856,13.658480,907.880009
0.202219,71.463774,14.370339,908.020153
0.212219,71.475589,15.082316,908.167416
0.222219,71.487301,15.794410,908.321800
0.232219,71.498909,16.506621,908.483305
0.242219,71.510432,17.218947,908.651932
0.252219,71.521662,17.931386,908.827684
0.262219,71.532770,18.643936,909.010561
0.272219,71.543777,19.356597,909.200563
0.282219,71.554684,20.069367,909.397693
0.292219,71.565502,20.782245,909.601951
0.302219,71.576221,21.495230,909.813338
0.312219,71.586639,22.208320,910.031856
0.322219,71.596941,22.921514,910.257505
0.328973,71.603842,23.403218,910.413929
0.331244,71.616137,23.565131,910.467463
0.333516,71.618519,23.727048,910.521364
0.338060,71.623048,24.050895,910.629903
0.342603,71.627615,24.374762,910.739912
0.347147,71.632247,24.698650,910.851394
0.357147,71.642228,25.411592,911.101945
0.367147,71.651971,26.124631,911.359626
0.377147,71.661513,26.837766,911.624438
0.387147,71.671113,27.550992,911.896382
0.397147,71.680465,28.264309,912.175458
0.407147,71.689709,28.977713,912.461668
0.417147,71.699208,29.691203,912.755013
0.427147,71.708105,30.404778,913.055493
0.437147,71.716946,31.118430,913.363108
0.447147,71.725875,31.832159,913.677861
0.457147,71.734505,32.545962,913.999752
0.467147,71.743115,33.259837,914.328781
0.477147,71.751701,33.973780,914.664949
0.487147,71.760099,34.687790,915.008257
0.497147,71.768367,35.401863,915.358705
0.507147,71.776478,36.115995,915.716294
0.517147,71.784515,36.830184,916.081025
0.527147,71.792503,37.544427,916.452898
0.537147,71.800387,38.258721,916.831914
0.547147,71.808057,38.973063,917.218073
0.557147,71.815605,39.687448,917.611375
0.567147,71.823055,40.401873,918.011822
0.577147,71.830509,41.116336,918.419413
0.587147,71.837810,41.830833,918.834149
0.597147,71.844987,42.545361,919.256030
0.607147,71.851958,43.259915,919.685056
0.617147,71.858899,43.974493,920.121228
0.627147,71.865737,44.689089,920.564546
0.637147,71.872341,45.403701,921.015010
0.647147,71.879130,46.118325,921.472620
0.657147,71.885605,46.832958,921.937376
0.667147,71.892037,47.547594,922.409279
0.677147,71.898398,48.262232,922.888328
0.687147,71.904778,48.976866,923.374524
0.697147,71.910842,49.691493,923.867866
0.707147,71.916677,50.406107,924.368354
0.717147,71.922440,51.120704,924.875988
0.727147,71.928359,51.835279,925.390768
0.737147,71.934050,52.549830,925.912693
0.747147,71.939736,53.264352,926.441764
0.757147,71.945278,53.978841,926.977980
0.767147,71.950846,54.693292,927.521341
0.777147,71.955912,55.407700,928.071846
0.787147,71.961085,56.122060,928.629495
0.797147,71.966198,56.836367,929.194287
0.807147,71.971080,57.550617,929.766222
0.817147,71.975973,58.264805,930.345299
0.827147,71.980806,58.978926,930.931518
0.837147,71.985661,59.692977,931.524877
0.847147,71.990456,60.406954,932.125377
0.857147,71.994793,61.120851,932.733016
0.867147,71.999022,61.834660,933.347794
0.877147,72.003300,62.548379,933.969709
0.887147,72.007348,63.262001,934.598761
0.897147,72.011416,63.975522,935.234949
0.907147,72.015405,64.688939,935.878271
0.917147,72.019351,65.402246,936.528727
0.927147,72.023230,66.115441,937.186316
0.937147,72.026921,66.828517,937.851035
0.947147,72.030317,67.541470,938.522885
0.957147,72.033651,68.254294,939.201864
0.967147,72.036828,68.966984,939.887971
0.977147,72.040069,69.679538,940.581204
0.987147,72.043205,70.391951,941.281561
0.997147,72.046061,71.104219,941.989042
1.007147,72.049015,71.816340,942.703645
1.017147,72.051700,72.528309,943.425368
1.027147,72.054109,73.240121,944.154211
1.037147,72.056427,73.951773,944.890170
1.047147,72.058613,74.663262,945.633246
1.057147,72.060859,75.374585,946.383435
1.067147,72.062811,76.085741,947.140737
1.077147,72.064660,76.796727,947.905149
1.087147,72.066540,77.507541,948.676671
1.097147,72.068264,78.218182,949.455299
1.107147,72.069465,78.928648,950.241034
1.117147,72.070574,79.638936,951.033872
1.127147,72.071476,80.349044,951.833812
1.137147,72.072468,81.058974,952.640852
1.147147,72.073114,81.768725,953.454991
1.157147,72.073677,82.478298,954.276226
1.167147,72.074126,83.187694,955.104556
1.177147,72.074483,83.896914,955.939979
1.187147,72.074311,84.605959,956.782494
1.197147,72.073871,85.314828,957.632098
1.207147,72.073267,86.023524,958.488790
1.217147,72.072467,86.732048,959.352568
1.227147,72.071826,87.440405,960.223430
1.237147,72.070740,88.148601,961.101375
1.247147,72.069323,88.856637,961.986402
1.257147,72.067773,89.564517,962.878508
1.267147,72.065967,90.272245,963.777692
1.277147,72.063639,90.979825,964.683952
1.287147,72.061194,91.687260,965.597288
1.297147,72.058540,92.394558,966.517697
1.307147,72.055424,93.101722,967.445178
1.317147,72.052313,93.808761,968.379731
1.327147,72.049060,94.515680,969.321353
1.337147,72.045479,95.222488,970.270044
1.347147,72.041588,95.929191,971.225803
1.357147,72.037551,96.635795,972.188628
1.367147,72.033199,97.342309,973.158518
1.377147,72.028603,98.048740,974.135473
1.387147,72.023302,98.755094,975.119493
1.397147,72.017957,99.461376,976.110575
1.407147,72.012235,100.167594,977.108720
1.417147,72.006247,100.873756,978.113927
1.427147,72.000108,101.579870,979.126195
1.437147,71.993613,102.285944,980.145524
1.447147,71.986880,102.991985,981.171914
1.457147,71.979940,103.698000,982.205364
1.467147,71.972766,104.403996,983.245874
1.477147,71.965331,105.109981,984.293444
1.487147,71.957779,105.815962,985.348073
1.497147,71.949431,106.521943,986.409763
1.507147,71.940842,107.227927,987.478512
1.517147,71.932084,107.933920,988.554321
1.527147,71.923093,108.639928,989.637191
1.537147,71.913897,109.345955,990.727120
1.547147,71.904447,110.052005,991.824110
1.557147,71.894859,110.758083,992.928160
1.567147,71.885096,111.464192,994.039272
1.577147,71.875056,112.170335,995.157444
1.587147,71.864900,112.876515,996.282678
1.597147,71.854636,113.582732,997.414975
1.607147,71.843800,114.288987,998.554333
1.617147,71.832636,114.995279,999.700754
1.627147,71.821466,115.701604,1000.854239
1.637147,71.810039,116.407965,1002.014787
