# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.312810,0.000000,697.000000
0.005831,69.324107,0.404170,697.002357
0.011662,69.334615,0.808401,697.007070
0.021662,69.352594,1.501745,697.018621
0.031662,69.370562,2.195268,697.037106
0.041662,69.388484,2.888971,697.062527
0.051662,69.406341,3.582853,697.094887
0.061662,69.424159,4.276913,697.134185
0.071662,69.441872,4.971150,697.180426
0.081662,69.459606,5.665565,697.233609
0.091662,69.477223,6.360157,697.293738
0.101662,69.539729,7.055149,697.360814
0.111662,69.565809,7.750584,697.434843
0.121662,69.583370,8.446237,697.515827
0.131662,69.600829,9.142065,697.603769
0.141662,69.618288,9.838068,697.698669
0.151662,69.635725,10.534245,697.800531
0.161662,69.653053,11.230596,697.909355
0.171662,69.670387,11.927121,698.025144
0.181662,69.687659,12.623818,698.147898
0.191662,69.704869,13.320688,698.277621
0.201662,69.763178,14.017901,698.414314
0.211662,69.788304,14.715593,698.557981
0.221662,69.805439,15.413475,698.708626
0.231662,69.822550,16.111522,698.866251
0.241662,69.839601,16.809740,699.030857
0.251662,69.856598,17.508128,699.202446
0.261662,69.873544,18.206686,699.381020
0.271662,69.890434,18.905412,699.566581
0.281662,69.907300,19.604308,699.759129
0.291662,69.924142,20.303372,699.958667
0.301662,69.980210,21.002768,700.165198
0.311662,70.004774,21.702599,700.378725
0.321662,70.021506,22.402637,700.599251
0.331662,70.038183,23.102843,700.826778
0.341662,70.054803,23.803214,701.061308
0.351662,70.071369,24.503752,701.302843
0.361662,70.087983,25.204455,701.551384
0.371662,70.104440,25.905324,701.806933
0.381662,70.120945,26.606357,702.069492
0.391662,70.137394,27.307555,702.339061
0.401662,70.191253,28.009105,702.615644
0.411662,70.215233,28.711044,702.899245
0.421662,70.231571,29.413184,703.189866
0.431662,70.247888,30.115488,703.487510
0.441662,70.264083,30.817954,703.792177
0.451662,70.280223,31.520582,704.103870
0.461662,70.296411,32.223372,704.422589
0.471662,70.312544,32.926323,704.748338
0.481662,70.328522,33.629434,705.081117
0.491662,70.344548,34.332706,705.420927
0.501662,70.396433,35.036317,705.767772
0.511662,70.419867,35.740305,706.121656
0.521662,70.435780,36.444489,706.482580
0.531662,70.451606,37.148832,706.850546
0.541662,70.467481,37.853334,707.225557
0.551662,70.483197,38.557993,707.607614
0.561662,70.498961,39.262810,707.996718
0.571662,70.514672,39.967784,708.392871
0.581662,70.530296,40.672915,708.796074
0.591662,70.545901,41.378202,709.206330
0.601662,70.595806,42.083817,709.623640
0.603197,70.602482,42.192148,709.688309
0.606585,70.610971,42.431388,709.832096
0.609974,70.616500,42.670646,709.976693
0.616751,70.627025,43.149199,710.267510
0.623529,70.637640,43.627824,710.561570
0.630306,70.648006,44.106519,710.858875
0.640306,70.663352,44.812961,711.303472
0.650306,70.678717,45.519556,711.755134
0.660306,70.694228,46.226304,712.213863
0.670306,70.709284,46.933206,712.679661
0.680306,70.724587,47.640258,713.152528
0.690306,70.739592,48.347462,713.632467
0.700306,70.781264,49.054926,714.119478
0.710306,70.810021,49.762775,714.613566
0.720306,70.825037,50.470830,715.114735
0.730306,70.840193,51.179036,715.622984
0.740306,70.855150,51.887391,716.138316
0.750306,70.870019,52.595894,716.660732
0.760306,70.884801,53.304544,717.190235
0.770306,70.899620,54.013340,717.726824
0.780306,70.914154,54.722282,718.270502
0.790306,70.928975,55.431367,718.821270
0.800306,70.968794,56.140724,719.379131
0.810306,70.996778,56.850416,719.944087
0.820306,71.011269,57.560318,720.516140
0.830306,71.025836,58.270361,721.095294
0.840306,71.040454,58.980546,721.681548
0.850306,71.054830,59.690870,722.274905
0.860306,71.069294,60.401334,722.875366
0.870306,71.083638,61.111936,723.482932
0.880306,71.097927,61.822674,724.097605
0.890306,71.112139,62.533547,724.719386
0.900306,71.150675,63.244655,725.348277
0.910306,71.177801,63.956111,725.984281
0.920306,71.191993,64.667765,726.627400
0.930306,71.205915,65.379538,727.277636
0.940306,71.220445,66.091439,727.934991
0.950306,71.234393,66.803471,728.599466
0.960306,71.248203,67.515626,729.271061
0.970306,71.262342,68.227904,729.949778
0.980306,71.276531,68.940307,730.635619
0.990306,71.290214,69.652831,731.328585
1.000306,71.327672,70.365570,732.028677
1.010306,71.354125,71.078635,732.735898
1.020306,71.368135,71.791882,733.450250
1.030306,71.381891,72.505232,734.171735
1.040306,71.395726,73.218693,734.900355
1.050306,71.409572,73.932265,735.636110
1.060306,71.423765,74.645948,736.379001
1.068852,71.435365,75.255969,737.019555
1.077399,71.447226,75.866067,737.665323
1.085945,71.458856,76.476240,738.316306
1.095945,71.472728,77.190294,739.084639
1.105945,71.520489,77.904589,739.860113
1.115945,71.534778,78.619209,740.642732
1.125945,71.548663,79.333900,741.432497
1.134310,71.560145,79.931826,742.098642
1.142675,71.571654,80.529816,742.769789
1.151041,71.583101,81.127871,743.445939
1.161041,71.596956,81.842885,744.260793
1.171041,71.610787,82.557990,745.082797
1.181041,71.624256,83.273183,745.911953
1.191041,71.637886,83.988461,746.748261
1.201041,71.676841,84.703930,747.591723
1.211041,71.698562,85.419687,748.442341
1.221041,71.712147,86.135563,749.300117
1.231041,71.725490,86.851515,750.165052
1.241041,71.739395,87.567549,751.037147
1.251041,71.752444,88.283671,751.916403
1.261041,71.765903,88.999874,752.802821
1.271041,71.779162,89.716163,753.696401
1.281041,71.792329,90.432536,754.597145
1.291041,71.805525,91.148993,755.505052
1.301041,71.842968,91.865638,756.420125
1.311041,71.863915,92.582565,757.342366
1.321041,71.876814,93.299613,758.271777
1.331041,71.889670,94.016743,759.208358
1.341041,71.902513,94.733964,760.152112
1.351041,71.915397,95.451279,761.103038
1.361041,71.927720,96.168688,762.061138
1.371041,71.940379,96.886193,763.026412
1.381041,71.952465,97.603796,763.998862
1.391041,71.964773,98.321497,764.978488
1.401041,72.000113,99.039387,765.965293
1.411041,72.020031,99.757595,766.959277
1.421041,72.031879,100.475931,767.960445
1.431041,72.043705,101.194364,768.968796
1.441041,72.055523,101.912909,769.984332
1.451041,72.066934,102.631566,771.007055
1.461041,72.078351,103.350338,772.036964
1.471041,72.089784,104.069228,773.074062
1.481041,72.101163,104.788239,774.118349
1.491041,72.112454,105.507373,775.169827
1.501041,72.145725,106.226715,776.228497
1.511041,72.164158,106.946367,777.294362
1.521041,72.174969,107.666181,778.367425
1.531041,72.185763,108.386118,779.447686
1.541041,72.196237,109.106184,780.535148
1.551041,72.207015,109.826382,781.629810
1.561041,72.217450,110.546712,782.731676
1.571041,72.228075,111.267177,783.840745
1.581041,72.238246,111.987774,784.957020
1.591041,72.248744,112.708506,786.080501
1.601041,72.280893,113.429488,787.211191
1.611041,72.298302,114.150713,788.349092
1.621041,72.308850,114.872120,789.494206
1.631041,72.319207,115.593668,790.646535
1.641041,72.329548,116.315343,791.806079
1.651041,72.339818,117.037143,792.972842
1.661041,72.350016,117.759067,794.146823
1.671041,72.360401,118.481118,795.328023
1.681041,72.370708,119.203294,796.516445
1.691041,72.381040,119.925597,797.712090
1.701041,72.412197,120.648125,798.914958
1.711041,72.429419,121.370902,800.125053
1.721041,72.439585,122.093865,801.342377
1.731041,72.449546,122.816954,802.566931
1.741041,72.459785,123.540157,803.798716
1.751041,72.469864,124.263473,805.037734
1.761041,72.479704,124.986907,806.283986
1.771041,72.489633,125.710458,807.537473
1.781041,72.499316,126.434125,808.798196
1.791041,72.509087,127.157909,810.066156
1.801041,72.538998,127.881905,811.341355
1.811041,72.555340,128.606137,812.623795
1.821041,72.565060,129.330544,813.913478
1.831041,72.574357,130.055070,815.210406
1.841041,72.583506,130.779693,816.514579
1.851041,72.592729,131.504419,817.826000
1.861041,72.602012,132.229255,819.144668
1.871041,72.610977,132.954202,820.470585
1.881041,72.619968,133.679256,821.803753
1.891041,72.628878,134.404417,823.144171
1.901041,72.657116,135.129773,824.491842
1.911041,72.672434,135.855348,825.846767
1.921041,72.681334,136.581085,827.208949
1.931041,72.689943,137.306925,828.578389
1.941041,72.698354,138.032850,829.955088
1.951041,72.706881,138.758861,831.339046
1.961041,72.715357,139.484965,832.730266
1.971041,72.723911,140.211162,834.128746
1.981041,72.732338,140.937449,835.534489
1.991041,72.740633,141.663821,836.947495
2.001041,72.768219,142.390366,838.367766
2.011041,72.782756,143.117106,839.795303
2.021041,72.791326,143.843983,841.230109
2.031041,72.799634,144.570940,842.672183
2.041041,72.807834,145.297957,844.121528
2.051041,72.816452,146.025040,845.578143
2.061041,72.824776,146.752193,847.042029
2.071041,72.833034,147.479416,848.513187
2.081041,72.841555,148.206706,849.991617
2.091041,72.849833,148.934060,851.477321
2.101041,72.876648,149.661565,852.970299
2.111041,72.890763,150.389240,854.470553
2.121041,72.899166,151.117030,855.978084
2.131041,72.907434,151.844885,857.492894
2.141041,72.915383,152.572786,859.014982
2.151041,72.923305,153.300738,860.544350
2.161041,72.931423,154.028747,862.080997
2.171041,72.939390,154.756818,863.624925
2.181041,72.946933,155.484948,865.176133
2.191041,72.954649,156.213134,866.734624
2.201041,72.979876,156.941464,868.300397
2.211041,72.993231,157.669958,869.873454
2.221041,73.000614,158.398567,871.453796
